의견1,의견2,의견3,의견4
상담 시 친근한 설명 바람,,,
상담원 법적 지식 부족으로 교육 필요함,,,
대기시간이 길었음,,,
대기시간이 길었음,,,
대기시간이 길음,,,
빠른 상담사 연결 바람,,,
연결이 느림,,,
연결이 느림,,,
연결이 느림,,,
연결 속도가 느림,,,
연결이 어려움,,,
연결이 어려움,,,
연결이 어려움,,,
"전문용어 자제 요청, 고객 이해 쉽게 설명 바람",,,
콜센터 이용 절차 복잡함,,,
통일된 답변을 해야 함,,,
ARS 메뉴 복잡함,상담사 연결 지연됨,,
ARS 이용 불편함,이용 편의성 향상 요청됨,,
ARS 안내멘트가 유료이며 너무 길다고 함,상담사 연결이 빠름,,
ARS 이용 과정이 불편함,,,
ARS 이용 복잡함,,,
ARS 이용이 불편함,,,
ARS 이용이 불편함,,,
ARS 메뉴 복잡함,원하는 상담번호 알 수 없음,,
ARS 안내 중 상담원 연결이 늦게 나옴,,,
ARS 연결 시간이 오래 걸림,,,
ARS 연결 멘트가 너무 길다고 함,,,
ARS 이용 과정 불편함,,,
ARS 이용이 불편함,,,
ARS 이용 불편함,대기 시간 길음,,
ARS 사용이 처음에 어려움,,,
ars가 혼란스러워짐,,,
계약내용 변경 문의 시 부정확한 안내로 시간 낭비됨,,,
고객 의견을 다 듣고 설명 안 하고 메뉴대로 설명함,,,
고객 요구에 비해 체계가 부족함,,,
나이 들어 전문용어 이해 어려움,쉬운 설명 요청함,,
납입증명에 인감증명서 제출이 번거로움,,,
내가 원하는 메뉴까지 가는 시간이 너무 길음,,,
내용을 더 자세히 알려달라 요청됨,,,
오래 기다림,,,
다른 보험사는 확인 쉬운데 한화는 안 됨,한화는 개인정보 확인이 어려워 팩스 필요함,이로 인해 불편함을 느낌,
"다른 회사는 메일 가능, 한화는 팩스 불편함",,,
담당자 연락이 없음,요청 해결 능력이 부족함,,
대기 시간이 길 때가 있음,,,
대기 시간이 길다고 느낌,,,
대기시간이 길었음,,,
대기시간이 길음,,,
대기시간 길 때 번호 남기면 전화해줬으면 좋겠음,,,
대기시간이 너무 길음,,,
대기시간이 길어 불편함,,,
대기시간이 길음,,,
친절하지 않았음,,,
디지털 상담이 불편함,전화 연결이 늦음,버튼식 연결이 바로 넘어가면 좋겠음,
마지막 상담사는 설명을 잘해줌,처음 두 상담원은 설명 부족함,,
상담사가 신청서류 관련 정보를 제공하지 않음,,,
메뉴 길어 상담사 연결 1번으로 개선 요망,,,
메뉴를 고객이 알기 쉽게 업무별로 구분할 필요 있음,,,
메뉴얼이 바로 넘어가야 함,,,
메뉴가 길음,,,
빨리 끊길 바라는 태도 느껴짐,,,
문의사항에 대한 사전지식이 없으면 다른 사람 연결해야 함,,,
문자 보내주기로 했으나 보내지 않음,,,
바로 처리되지 않아 상담사 연결 필요함,대기시간이 불편함,,
콜센터를 통한 해결 범위 확대 필요함,,,
백내장 수술 청구 시 불만족스러움,,,
버튼을 누르고 들어가면 상담사 연결이 어려움,ARS가 불필요함,,
"법인 처리 시 메일 사용 불가, 팩스만 가능함",인터넷으로 출력 지원 필요함,,
ARS 선택 시 화면 멈춤 현상 자주 발생하여 점검 필요함,,,
보이는 ARS가 더 불편함,,,
보이는 ARS 어플이 복잡함,카톡으로 쉽게 접근 가능하길 바람,,
보장성에 대한 고객 입장 설명 필요함,,,
보험 관련 설명을 쉽게 해달라고 요청함,,,
보험금 신청 시 추가 서류 필요하면 재접수해야 함,새 번호 배정이 불편하고 번거로움,업무 처리 방법 변경 요청했으나 거절됨,
보험금 청구 후 3주째 연락 없음,,,
보험금 청구 시 담당자가 자주 바뀜,업무 내용을 카톡으로 자세히 공지해줄 것을 요청함,,
보험금 청구 시 서류 부족으로 재전송 요청받음,재전송으로 시간과 요금 발생함,정확한 안내 부족으로 불편함,
보험 청구 시 콜센터 이용 않고 홈페이지로 신청 원함,,,
다른 부서로 넘기는 건 인정하나 피드백이 늦음,,,
부탁 시 상담원 응답이 느림,,,
비급여 설명 부재임,서류 관련 설명 부족함,,
빠른 연결이 필요함,,,
빠른 상담 대기시간 길어짐,,,
빠른 연결됨,,,
빠른 연결임,,,
빠른 연결임,,,
빠른 연결됨,,,
빠른 연결임,,,
사고 보상금 지급시 상세내역을 어플에서 확인 필요함,,,
상담사 대기시간이 너무 길음,,,
상담사 업무 연수를 자주 실시함,모든 상담사가 정확한 안내 제공됨,,
상담사 연결 개선 필요함,,,
상담사 연결이 너무 느림,,,
상담사 연결이 느림,,,
상담사 연결이 늦어짐,,,
상담사 연결이 더 빠르게 되도록 노력 요청함,,,
상담사 연결 지연됨,,,
상담사 연결 지연됨,,,
상담사 연결 지연됨,,,
상담사의 전문지식이 더 필요함,,,
상담사의 친절함 필요,,,
상담사 직통연결됨,,,
상담사가 고객의 말을 가끔 못 알아듣음,,,
상담사가 고객의 말을 이해 못 함,상담사가 북한 사람으로 착각됨,다른 상담원으로 교체 요청했으나 불가능함,상황이 매우 불편했음
상담사 증원으로 대기시간 단축 필요함,,,
상담사마다 태도 차이 있음,통화 시 목소리가 영혼없이 친절함,같은 질문에 짜증내는 상담사도 있음,
상담사 연결까지 대기시간 불편함,,,
상담사 연결 대기시간이 길다,안내 멘트 시스템이 불편함,,
상담사 연결 속도 향상 필요함,,,
상담사 연결 어려움,,,
상담사 연결이 어려움,신속한 연결 개선 요청됨,,
상담사와 빠른 연결 필요함,,,
상담사와의 빠른 연결 필요함,,,
상담사와의 빠른 연결 필요함,,,
상담사와 직접 연결되기를 희망함,,,
상담시 본인 분야 아님을 이유로 대기 요청됨,지연으로 인한 불편함 경험됨,,
상담시 충분한 설명에도 헛걸음한 경험,상담사의 업무 지식 향상 필요함,,
상담원 연결까지 기다림이 오래 걸림,,,
상담원 연결이 느림,원하는 상담을 충분히 해주지 않음,,
상담원 연결 메뉴 누르기가 어려움,,,
상담원 연결 느림,,,
상담원 연결이 오래 걸림,,,
상담원에 따라 동일 문의 대응이 다름,메뉴얼 숙지 정도가 상이함,,
상담원 연결이 너무 늦어짐,,,
상담원 연결 속도 개선 필요함,,,
상담원 연결이 바로 되었으면 좋겠음,고객 문의에 친절하게 잘 알려주길 바람,,
상담원의 전문지식 필요함,,,
설계사 교육 진행 요청됨,,,
설명이 자세했으면 좋겠음,,,
시스템 전산화 필요함,,,
신속한 상담원 연결 요망,,,
신속한 연결됨,,,
신속한 연결됨,,,
신속한 연결됨,,,
신속한 연결됨,,,
신속한 연결임,,,
신속한 연결임,,,
신속한 연결됨,,,
신속한 연결됨,,,
신속한 연결됨,,,
신속한 연결 바람,,,
신속한 전화 연결됨,,,
신속한 처리 요청됨,,,
신청 서류가 많음,상담사 응대가 다른 콜센터보다 덜 친절함,,
신청 서류가 복잡함,통원 서류 명칭에 안내 부족함,,
실손보험 가입 시 병명 필요함,보험 가입을 위해 2번 방문 필요함,,
실효전 고객에게 전화로 사전 안내 필요함,,,
안내가 다른 고객 대비 세부 설명 부족함,문제는 시스템에 있고 상담사 문제 아님,,
안내 메뉴가 너무 길다고 느껴짐,상담사 연결이 빠르게 되길 바람,,
설명이 쉬웠으면 좋겠음,,,
앱 문의시 상담사 설명 부족함,,,
어플 사용 불가라고 했으나 다른 상담원은 가능하다고 안내함,상담원의 업무 숙지 부족으로 잘못된 안내 받음,,
업무 숙지가 미흡함,,,
여러 번 전화할 때 상담원이 바뀌어 반복 설명 필요함,처음 상담원과 연결되길 바람,,
연결이 신속함,,,
연결 과정이 복잡함,,,
연결 안내멘트가 길어 상담원 연결이 어려움,,,
연결 속도가 느림,이용 과정이 불편함,,
연결 시간이 길어짐,,,
연결 신속 개선됨,,,
연결 어려움,,,
연결 속도가 느림,,,
연결이 느림,,,
연결 속도가 느림,,,
연결이 늦어짐,,,
연결 속도가 빠름,,,
연결 속도 향상 필요함,,,
연결이 빨리 안됨,,,
연결 어려움,,,
연결이 어려움,,,
연결이 어려움,안내 메뉴가 번잡함,,
연결이 오래 걸림,,,
연결이 오래 걸림,,,
연결이 잘 안 됨,,,
연결이 더 빠름,,,
연결이 어려움,,,
연결 속도가 느림,,,
연결 안 됨,ARS 복잡함,,
연결이 어려움,,,
연결이 어려움,대기 시간이 길음,,
연결이 잘 안 됨,,,
연결하는 데 시간이 걸림,,,
연금 내역 안내가 부족했음,인사 시 본인 안내가 미흡했음,,
연금 수령 전 설명 부족함,,,
연락하기로 했으나 아직 연락 없음,주소와 이름을 받고 나중에 연락하기로 함,,
연령대에 따라 ARS 사용이 어려움,,,
오래된 보험 약관 인지 및 전문 지식 필요함,,,
요금 갱신 시 어플과 고객센터 정보 불일치,보험료 납입 시 카드 이체 불가로 불편함,,
인터넷으로 보험료 납입 확인서 출력 가능,,,
일부 상담원의 목소리톤이 다듬어지지 않음,,,
자동응답 사용이 노인에게 어려움,,,
자동응답 메뉴 복잡함,,,
자동응답시스템의 메뉴가 복잡함,상담사 연결이 신속하지 않음,,
자동응답시스템이 ARS로 넘어갔다가 음성으로 전환됨,전환 과정에서 불편함을 느낌,,
적극적인 노력 부족함,퇴근 시간에 서두르는 느낌임,서류 심사가 느림,
전화 연결 안 됨,만기 부분 등 카톡으로 알림 바람,,
전화 대기시간이 길음,,,
전화를 넘겨줌,,,
전화 연결이 자주 늦어짐,,,
전화 연결이 빨랐으면 좋겠음,,,
전화 연결이 신속함,,,
전화 연결 어려움,,,
전화 연결이 잘 안 됨,,,
전화 연결 과정과 내용 메뉴가 어려움,,,
전화 연결 과정이 복잡함,,,
전화 연결 과정이 복잡함,,,
전화 연결이 늦어짐,,,
전화 연결 신속 개선 필요함,,,
전화 연결 신속 바람,,,
전화 연결이 신속했음,,,
전화 연결이 어려움,,,
전화 연결이 어려움,,,
전화 연결 어려움,,,
전화 연결이 너무 늦음,,,
전화 연결이 느림,,,
전화 연결 복잡함,,,
전화 연결이 신속하지 않음,,,
전화 연결이 오래 걸림,,,
전화 연결이 오래 걸림,,,
전화 연결이 어려움,,,
전화 연결이 어려움,,,
전화 연결 회선이 많았으면 좋겠음,,,
전화할 때 과정 복잡함,시간이 오래 걸림,,
전화 연결까지 시간이 오래 걸림,,,
전화로 창이 뜨고 계약 조회 시 원하는 프로그램 찾기 어려움,,,
절차가 복잡함,,,
점심시간 없이 근무함,,,
접속 대기시간이 긴 것에 대한 불편함,,,
접수가 어려움,상담사가 고객의 말을 이해 못 함,,
접수 시 본인 신청의 불편함을 호소함,,,
접수 후 업무 처리가 느림,,,
정확한 답변을 못하고 나중에 확인할 것이라고 함,,,
정확한 답변 없이 고객센터 방문 권유됨,,,
정확한 안내 요망됨,,,
정확한 안내가 이루어지지 않음,,,
제도 실비상담 내용 콜센터에서 충분히 안내받음,,,
친절함이 더 필요함,,,
고객 말을 끊고 경청하지 않음,퉁명스러운 태도로 응대됨,ARS 이용이 불편함,
지사 연결이 잘 되지 않음,,,
지점별 안내 번호 없이 ARS 연결 불편함,,,
직원 용어 사용으로 이해 어려움,직원 말투가 짜증스러움,,
직통 연결이 되었으면 함,,,
직통 연결 가능했으면 좋겠음,필요한 부분 찾기 어려움,메뉴 이용이 어려움,
처리가 느림,,,
처리를 신속하게 해줄 것을 요청함,반복적인 전화를 하지 않도록 해줄 것을 요청함,,
처음 상담사는 잘해줌,두번째 상담사는 귀찮아하는 느낌 줌,,
청구금액 정확도에 문제가 있음,,,
청구한 보험은 타회사와 중복됨,자세한 설명을 받지 못함,,
카드 결제가 안 됨,,,
콜센터 상담업무 아닐 때 다른 부서 연결도 빠름,,,
콜센터 상담 시 어르신들과 천천히 통화 요청됨,,,
콜센터 민원 접수 시 상담사가 해결 불가 응답함,접수 후 문제 해결되길 바람,,
콜센터 업무 처리 한계로 불편함,다양한 업무 처리가 필요함,,
콜센터 개선 사항 없음,보험 많이 보유함,대출 금액이 적음,
콜센터 상담 후 일주일 내 만족도 조사 요청함,,,
콜센터 전화 시 다른 상담원과 반복 문의 불편함,,,
타 보험사는 이름만으로 처리하는데 한화는 주민번호 요구함,,,
타사보다 연결이 잘 안 됨,,,
통화 대기 시간이 길음,,,
통화 연결이 신속했음을 바람,,,
통화 연결이 잘 안 됨,,,
팩스번호를 받으려면 콜센터로 전화해야 함,,,
피드백 정확성 향상 필요함,,,
바쁠 때 상담사 증원 필요함,,,
팩스 전송 요청시 전달 안 됨으로 불편함,마지막날 해결되어 만족함,,
화면상으로 보험약관만 설명함,고객 확인 없이 자기 주장만 함,,
회사 규정이 잘못됐음에도 고객에게 준수 강요,,,
휴대폰 보이는 ARS 넘어가는 과정에서 키패드 작동법을 몰라 끊김 발생함,보이는 ARS로 넘어가지 않았으면 좋겠음,,
다음 문장을 교정하고 요약해 달라는 요청임,,,
입력하신 문장이 불완전합니다 추가 정보를 제공해주세요,,,
입력하신 문장에 내용이 없습니다 확인 후 다시 입력해 주세요,,,
원본 문장에 내용이 없어서 요약할 수 없습니다,,,
감사의 표현함,,,
감사의 표현임,,,
고생 많으십니다,,,
국회 예결위 예산심사에서 투명성 강화 필요함,,,
기관 특성이 다르므로 예산담당자의 현장 방문 필요함,,,
기재부 심의 시 전년 예산만 비교함,부처 요구금액과 비교 필요함,요구 대비 감액 사유 명확히 보고해야 함,
기초지자체 의견 감사함,중앙정부 예산편성시 현장 여건 반영 요망,지자체 현실과 맞지 않는 부분 있음,
농림예산 편성 시 협의와 협력한 직원 칭찬함,,,
다른 부처도 사정이 좋지 않음,특히 기재부 담당자들이 격무에 시달림,정원 확대 및 인력 충원 필요함,
부처간 긴밀한 의사소통 필요함,,,
더 많은 인원의 예산검토 참여 필요함,예산실 인원으로는 소화할 양이 많음,,
명확한 예산 편성 방침 필요함,,,
별다른 의견 없음,,,
별도 의견 없음,,,
별도 의견 없음,,,
별도 의견 없음,,,
별도의 내용이 없음,,,
별도의 의견 없음,,,
부처 재량권을 많이 주세요,,,
부처 주도로 재정협의 강화됨,기재부는 부처 의견 함께 검토함,,
사업현장 방문으로 예산 편성의 실효성 제고 필요함,,,
수고 많으십니다,,,
수고하세요,,,
수고하십니다라는 인사말 사용됨,,,
앞으로도 잘 부탁드림,,,
내용이 없음,,,
내용이 없음,,,
특별한 내용 없음,,,
특별한 내용 없음,,,
내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
내용 없음,,,
없음,,,
내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
특별한 내용이 없음,,,
내용이 없음,,,
특별한 내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
특별한 내용 없음,,,
내용이 없음,,,
내용이 없음,,,
특별한 내용이 없음,,,
특별한 내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
내용이 없음,,,
연구개발목적기관의 예산편성과 집행 논의가 빨리 이루어지길 바람,,,
예산 감소 시 전문가 의견 청취 필요함,,,
예산 편성 시 일정 통보가 원활해지길 희망함,,,
예산실 직원들의 노고에 감사함,,,
예산 수혜자 의견을 정기적으로 수렴해야 함,,,
예산편성 과정에서 부처 의견을 성실히 들어줌,,,
예산서 작성 기한을 넉넉히 할당할 필요 있음,,,
의견 없음,,,
의견 없음,,,
재정당국과 부처별 예산업무 담당자 간 소통 강화 필요함,부처별 애로사항 청취 노력 필요함,,
재정사업자율평가에서 금융성기금 중 의무지출세부사업은 부처별 전략적 평가 왜곡의 대상이 될 수 있어 제외하는 것이 합리적임,,,
친절하고 강압적이지 않은 분위기를 바람,,,
중기 및 정부안 심의 후 결과 부처에 전달 요청함,,,
중앙부처 예산편성 일정 절차 교육자료 발간 필요함,,,
지출구조조정 시 부처와 산하기관 예산 반영 필요함,,,
집행지침 해석 필요시 적극 협조 요청됨,,,
집행지침의 수당 현실화와 명확화 보완 요청함,,,
특별한 의견 없음,,,
특별한 의견 없음,,,
특별한 의견 없음,,,
특별한 내용 없음,,,
특별한 의견 없음,,,
편성 과정의 고압적 태도로 사업 담당자 주눅듦,업무 효율 현저히 저조해짐,,
해당 내용 없음,,,
해당사항 없음,,,
해당 내용 없음,,,
해당 없음,,,
현장방문과 의견수렴 과정 증가 요청함,,,
계속 유지 바람,,,
많은 투자 필요함,,,
사업 확대됨,,,
조직력 강화됨,,,
지원 업무 충실 바람,,,
해외 지원 사업 강화를 위한 금융 지원임,,,
협업을 잘해야 함,,,
확대 필요함,,,
활성화됨,,,
오타 교정됨,,,
국가를 위해 열심히 일함,,,
금융 지원을 적극적으로 해줌,,,
기술분야 전문인력 확충 바람,,,
기회가 더 많으면 좋겠음,,,
예산과 프로그램을 늘려줌,,,
업무 처리 필요함,정부 눈치를 많이 봄,정부 정책에 끌려감,
자원 확보에 관한 내용임,,,
적극적인 홍보 요청됨,,,
적극적 투자 확대됨,,,
지원 정책 활성화 요청됨,,,
투명하게 잘 처리됨,,,
